IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,166,0.00
34.141.248.249,2096,80,false,AMS,Europe,NL,Amsterdam,166,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,166,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,170,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,170,0.00
34.147.101.117,2082,80,false,AMS,Europe,NL,Amsterdam,171,0.00
34.141.221.33,2087,80,false,AMS,Europe,NL,Amsterdam,171,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,172,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,173,0.00
34.19.114.86,443,80,false,SEA,North America,US,Seattle,174,0.00
34.141.221.33,2083,80,false,AMS,Europe,NL,Amsterdam,174,0.00
34.141.248.249,2083,80,false,AMS,Europe,NL,Amsterdam,174,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,175,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,175,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,176,0.00
34.141.248.249,2095,80,false,AMS,Europe,NL,Amsterdam,178,0.00
34.141.221.33,2082,80,false,AMS,Europe,NL,Amsterdam,179,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,181,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,184,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,185,0.00
34.19.114.86,80,80,false,SEA,North America,US,Seattle,186,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,187,0.00
34.56.143.151,80,8080,false,ORD,North America,US,Chicago,188,0.00
34.70.88.252,443,80,false,ORD,North America,US,Chicago,188,0.00
34.70.88.252,443,80,false,ORD,North America,US,Chicago,189,0.00
34.56.143.151,80,8080,false,ORD,North America,US,Chicago,189,0.00
34.83.150.78,80,80,false,SEA,North America,US,Seattle,190,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,190,0.00
34.141.221.33,2053,80,false,AMS,Europe,NL,Amsterdam,193,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,193,0.00
34.70.88.252,443,80,false,ORD,North America,US,Chicago,194,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,197,0.00
34.111.103.7,80,80,false,SIN,Asia Pacific,SG,Singapore,197,0.00
34.49.1.210,80,80,false,SIN,Asia Pacific,SG,Singapore,200,0.00
35.232.39.116,80,80,false,DFW,North America,US,Dallas,205,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,207,0.00
35.247.124.181,80,80,false,SEA,North America,US,Seattle,208,0.00
34.141.248.249,2052,80,false,AMS,Europe,NL,Amsterdam,210,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,212,0.00
34.19.114.86,80,80,false,SEA,North America,US,Seattle,213,0.00
35.188.87.85,80,8080,false,ORD,North America,US,Chicago,217,0.00
34.141.248.249,2053,80,false,AMS,Europe,NL,Amsterdam,223,0.00
34.74.105.17,80,8080,false,ATL,North America,US,Atlanta,223,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,226,0.00
34.74.105.17,80,8080,false,ATL,North America,US,Atlanta,226,0.00
34.141.248.249,2082,80,false,AMS,Europe,NL,Amsterdam,227,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,227,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,228,0.00
34.141.248.249,2086,80,false,AMS,Europe,NL,Amsterdam,229,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,234,0.00
34.70.88.252,443,80,false,ORD,North America,US,Chicago,237,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,240,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,242,0.00
35.243.253.136,80,80,false,ATL,North America,US,Atlanta,249,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,251,0.00
34.83.150.78,80,80,false,SEA,North America,US,Seattle,261,0.00
104.196.221.253,80,80,false,IAD,North America,US,Ashburn,265,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,275,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,280,0.00
34.145.66.39,8080,8080,false,BOM,Asia Pacific,IN,Mumbai,400,0.00
34.145.66.39,8080,8080,false,BOM,Asia Pacific,IN,Mumbai,595,0.00
